COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,男性人口數,女性人口數,資料時間
"10007","彰化縣","10007100","員林市",46036,122523,60206,62317,"114Y06M"
"10007","彰化縣","10007110","溪湖鎮",18924,53017,26790,26227,"114Y06M"
"10007","彰化縣","10007120","田中鎮",14476,38566,19670,18896,"114Y06M"
"10007","彰化縣","10007130","大村鄉",13699,39115,19874,19241,"114Y06M"
"10007","彰化縣","10007140","埔鹽鄉",10927,30341,15979,14362,"114Y06M"
"10007","彰化縣","10007150","埔心鄉",12256,33231,17085,16146,"114Y06M"
"10007","彰化縣","10007160","永靖鄉",12233,34386,17751,16635,"114Y06M"
"10007","彰化縣","10007170","社頭鄉",14565,40441,20793,19648,"114Y06M"
"10007","彰化縣","10007180","二水鄉",5425,13357,7034,6323,"114Y06M"
"10007","彰化縣","10007190","北斗鎮",12523,33268,16671,16597,"114Y06M"
"10007","彰化縣","10007200","二林鎮",17426,46817,24058,22759,"114Y06M"
"10007","彰化縣","10007210","田尾鄉",9090,25394,13139,12255,"114Y06M"
"10007","彰化縣","10007220","埤頭鄉",10059,28176,14549,13627,"114Y06M"
"10007","彰化縣","10007230","芳苑鄉",10929,30109,15949,14160,"114Y06M"
"10007","彰化縣","10007240","大城鄉",5220,14299,7719,6580,"114Y06M"
"10007","彰化縣","10007250","竹塘鄉",4912,13972,7362,6610,"114Y06M"
"10007","彰化縣","10007260","溪州鄉",9862,27416,14276,13140,"114Y06M"
"10008","南投縣","10008010","南投市",38223,96868,48062,48806,"114Y06M"
"10008","南投縣","10008020","埔里鎮",30864,76097,37558,38539,"114Y06M"
"10008","南投縣","10008030","草屯鎮",37694,97281,48585,48696,"114Y06M"
"10008","南投縣","10008040","竹山鎮",21015,50280,25606,24674,"114Y06M"
"10008","南投縣","10008050","集集鎮",4309,9644,5012,4632,"114Y06M"
"10008","南投縣","10008060","名間鄉",13562,34895,18377,16518,"114Y06M"
"10008","南投縣","10008070","鹿谷鄉",7865,15578,8320,7258,"114Y06M"
"10008","南投縣","10008080","中寮鄉",5617,12966,7077,5889,"114Y06M"
"10008","南投縣","10008090","魚池鄉",5783,14191,7478,6713,"114Y06M"
"10008","南投縣","10008100","國姓鄉",7134,16185,8737,7448,"114Y06M"
"10008","南投縣","10008110","水里鄉",7151,15645,8159,7486,"114Y06M"
"10008","南投縣","10008120","信義鄉",5274,14993,7990,7003,"114Y06M"
"10008","南投縣","10008130","仁愛鄉",4964,15270,7869,7401,"114Y06M"
"10009","雲林縣","10009010","斗六市",44399,109264,53691,55573,"114Y06M"
"10009","雲林縣","10009020","斗南鎮",17910,43451,21943,21508,"114Y06M"
"10009","雲林縣","10009030","虎尾鎮",29571,71462,35776,35686,"114Y06M"
"10009","雲林縣","10009040","西螺鎮",16627,44107,22084,22023,"114Y06M"
"10009","雲林縣","10009050","土庫鎮",10446,27274,14166,13108,"114Y06M"
"10009","雲林縣","10009060","北港鎮",16691,37357,19126,18231,"114Y06M"
"10009","雲林縣","10009070","古坑鄉",12220,29389,15298,14091,"114Y06M"
"10009","雲林縣","10009080","大埤鄉",7011,17673,9349,8324,"114Y06M"
"10009","雲林縣","10009090","莿桐鄉",10131,27354,14153,13201,"114Y06M"
"10009","雲林縣","10009100","林內鄉",6318,16546,8680,7866,"114Y06M"
"10009","雲林縣","10009110","二崙鄉",9478,24360,13008,11352,"114Y06M"
"10009","雲林縣","10009120","崙背鄉",9194,22417,11859,10558,"114Y06M"
"10009","雲林縣","10009130","麥寮鄉",16213,48865,24122,24743,"114Y06M"
"10009","雲林縣","10009140","東勢鄉",5911,13036,7222,5814,"114Y06M"
"10009","雲林縣","10009150","褒忠鄉",4647,11589,6204,5385,"114Y06M"
"10009","雲林縣","10009160","臺西鄉",8498,20979,11198,9781,"114Y06M"
"10009","雲林縣","10009170","元長鄉",9411,22708,12414,10294,"114Y06M"
"10009","雲林縣","10009180","四湖鄉",8592,20404,11158,9246,"114Y06M"
"10009","雲林縣","10009190","口湖鄉",9251,24216,12898,11318,"114Y06M"
"10009","雲林縣","10009200","水林鄉",9607,22088,12098,9990,"114Y06M"
"10010","嘉義縣","10010010","太保市",15986,39777,20062,19715,"114Y06M"
"10010","嘉義縣","10010020","朴子市",17135,40262,20156,20106,"114Y06M"
"10010","嘉義縣","10010030","布袋鎮",9925,23841,12168,11673,"114Y06M"
"10010","嘉義縣","10010040","大林鎮",12219,29529,14913,14616,"114Y06M"
"10010","嘉義縣","10010050","民雄鄉",28438,69993,35603,34390,"114Y06M"
"10010","嘉義縣","10010060","溪口鄉",5359,12764,6861,5903,"114Y06M"
"10010","嘉義縣","10010070","新港鄉",11353,29274,15455,13819,"114Y06M"
"10010","嘉義縣","10010080","六腳鄉",8838,20217,10782,9435,"114Y06M"
"10010","嘉義縣","10010090","東石鄉",9004,21852,11574,10278,"114Y06M"
"10010","嘉義縣","10010100","義竹鄉",7047,15943,8328,7615,"114Y06M"
"10010","嘉義縣","10010110","鹿草鄉",5897,13658,7433,6225,"114Y06M"
"10010","嘉義縣","10010120","水上鄉",19760,47259,24362,22897,"114Y06M"
"10010","嘉義縣","10010130","中埔鄉",17006,42038,21756,20282,"114Y06M"
"10010","嘉義縣","10010140","竹崎鄉",12162,32417,17214,15203,"114Y06M"
"10010","嘉義縣","10010150","梅山鄉",6932,17239,9137,8102,"114Y06M"
"10010","嘉義縣","10010160","番路鄉",4483,10659,5699,4960,"114Y06M"
"10010","嘉義縣","10010170","大埔鄉",1869,4198,2129,2069,"114Y06M"
"10010","嘉義縣","10010180","阿里山鄉",1839,5186,2696,2490,"114Y06M"
"10013","屏東縣","10013010","屏東市",80361,192125,93817,98308,"114Y06M"
"10013","屏東縣","10013020","潮州鎮",22559,53904,26503,27401,"114Y06M"
"10013","屏東縣","10013030","東港鎮",18679,45977,23002,22975,"114Y06M"
"10013","屏東縣","10013040","恆春鎮",12366,29012,14679,14333,"114Y06M"
"10013","屏東縣","10013050","萬丹鄉",17251,48832,25176,23656,"114Y06M"
"10013","屏東縣","10013060","長治鄉",11646,29301,15025,14276,"114Y06M"
"10013","屏東縣","10013070","麟洛鄉",4366,10477,5360,5117,"114Y06M"
